_id,text
ObjectId("5e28fe3f9f32ef20387f4262"),#LoMásLeído López Obrador pedirá a Pemex explique robo de crudo en Golfo de México https://t.co/s7dsh4fx94
ObjectId("5e28fe3f9f32ef20387f4263"),RT @telediario: 🔴 Se difunde #Video de robo a mano armada de un automóvil en #Ecatepec #Edomex ¡En menos de 30 segundos! A los ladrones no…
ObjectId("5e28fe3f9f32ef20387f4264"),Fui víctima de Robo de auto partes en la colonia Juárez, CDMX @SSP_CDMX @UCS_GCDMX @lajuarezDF https://t.co/AmBagi7vfo
ObjectId("5e28fe3f9f32ef20387f4265"),"Investigan tiroteo en edificio de Ejército Nacional"  https://t.co/mcKvLMHctR
¿Por qué hay tanto crímen, tanto asa… https://t.co/WMqfiMcVWK
ObjectId("5e28fe3f9f32ef20387f4266"),RT @valdemarman: @MobikeMX un usuario en Facebook vende o cambia una de tus bicicletas por un celular.
¿Quieres el enlace para que hagas la…
ObjectId("5e28fe3f9f32ef20387f4267"),@MobikeMX un usuario en Facebook vende o cambia una de tus bicicletas por un celular.
¿Quieres el enlace para que h… https://t.co/IlzGE6IPlK
ObjectId("5e28fe3f9f32ef20387f4268"),RT @telediario: 🚗 Hasta el momento se desconoce si hay personas detenidas por este robo.

https://t.co/4u9DThcYl7
ObjectId("5e28fe3f9f32ef20387f4269"),🚗 Hasta el momento se desconoce si hay personas detenidas por este robo.

https://t.co/4u9DThcYl7
ObjectId("5e28fe3f9f32ef20387f426a"),RT @NTelevisa_com: Como señas particulares la pequeña tiene un lunar rojo en la nuca y uno en forma de mancha morada en la espalda.  https:…
ObjectId("5e28fe3f9f32ef20387f426b"),RT @lasillarota: ¿Cuál es la zona más peligrosa para pasear a tu mascota? Te dejamos el mapa con las colonias donde tu lomito corre más rie…
ObjectId("5e28fe3f9f32ef20387f426c"),RT @lasillarota: ¿Cuál es la zona más peligrosa para pasear a tu mascota? Te dejamos el mapa con las colonias donde tu lomito corre más rie…
ObjectId("5e28fe3f9f32ef20387f426d"),RT @telediario: 🔻 Solo 30 segundos fueron suficientes para que hombres armados realizaran un robo a una familia en Ecatepec; ninguna patrul…
ObjectId("5e28fe3f9f32ef20387f426e"),RT @telediario: 👎 #Entérate Un hombre vestido de payaso robó una tableta electrónica una cafetería en #CDMX

#TelediarioEnEl6 con @Carloszu…
ObjectId("5e28fe3f9f32ef20387f426f"),RT @telediario: 👎 #Entérate Un hombre vestido de payaso robó una tableta electrónica una cafetería en #CDMX

#TelediarioEnEl6 con @Carloszu…
ObjectId("5e28fe3f9f32ef20387f4270"),RT @Cuauhtemoc_1521: @MictlanGuapo @SEDEMA_CDMX Ese caco viene de la mitología griega. Caco le robó unas vacas a Hércules escondiéndolas en…
ObjectId("5e28fe3f9f32ef20387f4271"),@MictlanGuapo @SEDEMA_CDMX Ese caco viene de la mitología griega. Caco le robó unas vacas a Hércules escondiéndolas en una cueva
ObjectId("5e28fe3f9f32ef20387f4272"),👎 #Entérate Un hombre vestido de payaso robó una tableta electrónica una cafetería en #CDMX

#TelediarioEnEl6 con… https://t.co/FKuDmD6a3E
ObjectId("5e28fe3f9f32ef20387f4273"),🔻 Solo 30 segundos fueron suficientes para que hombres armados realizaran un robo a una familia en Ecatepec; ningun… https://t.co/2hm37sMkGw
ObjectId("5e28fe3f9f32ef20387f4274"),RT @lasillarota: ¿Cuál es la zona más peligrosa para pasear a tu mascota? Te dejamos el mapa con las colonias donde tu lomito corre más rie…
ObjectId("5e28fe3f9f32ef20387f4275"),@RuidoEnLaRed @Claudiashein @SSP_CDMX @ErickBaena  hay que decirle a @Claudiashein  la verdad de todos los abusos q… https://t.co/SrA72RHImd
ObjectId("5e28fe3f9f32ef20387f4276"),RT @lasillarota: ¡Cuidado! Estas son las colonias donde más roban mascotas https://t.co/votZTeHDOB
ObjectId("5e28fe3f9f32ef20387f4277"),RT @lasillarota: Así opera la banda "Centenario", liderada por colombianos, que se dedica al robo de tarjetas bancarias y saqueos a casa ha…
ObjectId("5e28fe3f9f32ef20387f4278"),RT @CapitalMX_: #LoMásLeído López Obrador pedirá a Pemex explique robo de crudo en Golfo de México https://t.co/s7dsh4fx94
ObjectId("5e28fe3f9f32ef20387f4279"),RT @AlcCuauhtemocMx: Policías de la @SSP_CDMX detuvieron a un hombre relacionado con el robo en un hotel del #CentroHistórico de nuestra #A…
ObjectId("5e28fe3f9f32ef20387f427a"),RT @lasillarota: Así opera la banda "Centenario", liderada por colombianos, que se dedica al robo de tarjetas bancarias y saqueos a casa ha…
ObjectId("5e28fe3f9f32ef20387f427b"),RT @lasillarota: Así opera la banda "Centenario", liderada por colombianos, que se dedica al robo de tarjetas bancarias y saqueos a casa ha…
ObjectId("5e28fe3f9f32ef20387f427c"),#VicioNoticias Desmienten un supuesto robo de patrimonio en el Archivo Histórico de la CDMX https://t.co/L9Lh03VwMu https://t.co/oAFjXN3f3u
ObjectId("5e28fe3f9f32ef20387f427d"),@SSP_CDMX Quiero denunciar un robo en proceso 👇🏼 https://t.co/19HzMOEqEF
ObjectId("5e28fe3f9f32ef20387f427e"),RT @lasillarota: Así opera la banda "Centenario", liderada por colombianos, que se dedica al robo de tarjetas bancarias y saqueos a casa ha…
ObjectId("5e28fe3f9f32ef20387f427f"),RT @lasillarota: ¿Cuál es la zona más peligrosa para pasear a tu mascota? Te dejamos el mapa con las colonias donde tu lomito corre más rie…
ObjectId("5e28fe3f9f32ef20387f4280"),RT @lasillarota: ¿Cuál es la zona más peligrosa para pasear a tu mascota? Te dejamos el mapa con las colonias donde tu lomito corre más rie…
ObjectId("5e28fe3f9f32ef20387f4281"),RT @ivsalom: El pasado *Viernes 17/01/2020* a las *11.50 PM* fui despojado de mis pertenencias y el Vehículo *Mazda 3 2016* Placas de Circu…
ObjectId("5e28fe3f9f32ef20387f4282"),RT @lasillarota: Así opera la banda "Centenario", liderada por colombianos, que se dedica al robo de tarjetas bancarias y saqueos a casa ha…
ObjectId("5e28fe3f9f32ef20387f4283"),RT @lasillarota: Así opera la banda "Centenario", liderada por colombianos, que se dedica al robo de tarjetas bancarias y saqueos a casa ha…
ObjectId("5e28fe3f9f32ef20387f4284"),RT @lasillarota: ¿Cuál es la zona más peligrosa para pasear a tu mascota? Te dejamos el mapa con las colonias donde tu lomito corre más rie…
ObjectId("5e28fe3f9f32ef20387f4285"),RT @lasillarota: Así opera la banda "Centenario", liderada por colombianos, que se dedica al robo de tarjetas bancarias y saqueos a casa ha…
ObjectId("5e28fe3f9f32ef20387f4286"),RT @lasillarota: Así opera la banda "Centenario", liderada por colombianos, que se dedica al robo de tarjetas bancarias y saqueos a casa ha…
ObjectId("5e28fe3f9f32ef20387f4287"),RT @lasillarota: Así opera la banda "Centenario", liderada por colombianos, que se dedica al robo de tarjetas bancarias y saqueos a casa ha…
ObjectId("5e28fe3f9f32ef20387f4288"),RT @lasillarota: Así opera la banda "Centenario", liderada por colombianos, que se dedica al robo de tarjetas bancarias y saqueos a casa ha…
